date,price,open,high,low,volume,change_pct
2000-05-15,19.44,19.44,19.44,19.44,5.00K,-1.27%
2000-05-16,19.81,19.81,19.81,19.81,0.30K,1.90%
2000-05-17,19.44,19.44,19.44,19.44,0.40K,-1.87%
2000-05-18,19.25,19.31,19.31,19.25,0.80K,-0.98%
2000-05-19,19.31,19.31,19.31,19.31,18.00K,0.31%
2000-05-22,17.44,17.94,17.94,17.44,70.50K,-9.68%
2000-05-23,17.88,17.94,18.12,17.88,51.30K,2.52%
2000-05-24,17.69,17.69,17.69,17.56,10.60K,-1.06%
2000-05-25,17.88,18.12,18.31,17.88,44.30K,1.07%
2000-05-26,16.94,16.94,17.06,16.94,21.00K,-5.26%
2000-05-30,17.94,18.12,18.12,17.94,32.10K,5.90%
2000-05-31,19.25,19.12,19.25,19.12,55.00K,7.30%
2000-06-01,19.19,19.31,19.38,19.19,11.50K,-0.31%
2000-06-02,20.5,20.19,20.5,20.19,10.40K,6.83%
2000-06-05,21.0,21.19,21.19,21.0,3.10K,2.44%
2000-06-06,20.75,21.12,21.12,20.75,10.20K,-1.19%
2000-06-07,21.25,21.5,21.5,20.5,44.10K,2.41%
2000-06-08,20.25,20.44,20.44,20.25,12.00K,-4.71%
2000-06-09,22.12,22.12,22.12,22.12,1.30K,9.23%
2000-06-12,22.0,22.56,22.56,22.0,12.10K,-0.54%
2000-06-13,21.12,21.0,21.31,21.0,14.50K,-4.00%
2000-06-14,21.62,21.5,22.38,21.31,67.50K,2.37%
2000-06-15,20.0,20.0,20.25,20.0,5.30K,-7.49%
2000-06-16,19.5,19.88,19.88,19.5,22.40K,-2.50%
2000-06-19,19.69,19.75,19.75,19.5,3.00K,0.97%
2000-06-20,20.62,20.75,20.75,20.62,3.30K,4.72%
2000-06-21,20.38,20.75,20.75,20.25,22.20K,-1.16%
2000-06-22,20.12,20.38,20.5,20.12,17.00K,-1.28%
2000-06-23,20.25,20.12,20.25,20.12,2.00K,0.65%
2000-06-26,20.75,20.62,20.88,20.62,27.20K,2.47%
2000-06-27,20.81,20.81,20.88,20.75,30.80K,0.29%
2000-06-28,21.19,21.0,21.25,21.0,1.10K,1.83%
2000-06-29,20.94,20.88,20.94,20.88,1.60K,-1.18%
2000-06-30,21.0,21.0,21.0,21.0,10.00K,0.29%
2000-07-03,21.69,21.69,21.69,21.69,3.00K,3.29%
2000-07-05,21.38,21.5,21.5,21.25,10.70K,-1.43%
2000-07-06,21.38,21.44,21.44,21.38,2.70K,0.00%
2000-07-07,22.0,21.75,22.0,21.69,24.40K,2.90%
2000-07-10,21.75,21.75,21.75,21.75,3.00K,-1.14%
2000-07-11,21.0,21.38,21.38,21.0,1.70K,-3.45%
2000-07-12,21.56,21.25,21.62,21.25,21.30K,2.67%
2000-07-13,21.94,22.0,22.0,21.69,13.30K,1.76%
2000-07-14,21.25,21.38,21.38,21.25,1.60K,-3.14%
2000-07-17,21.5,21.5,21.5,21.5,44.00K,1.18%
2000-07-18,20.88,20.88,21.12,20.88,1.60K,-2.88%
2000-07-19,20.69,20.25,20.69,20.25,37.40K,-0.91%
2000-07-20,20.38,20.25,20.44,20.25,11.20K,-1.50%
2000-07-21,20.5,20.25,20.5,20.25,11.10K,0.59%
2000-07-24,19.5,19.25,19.5,19.19,17.20K,-4.88%
2000-07-25,19.56,19.38,19.56,19.38,8.50K,0.31%
2000-07-26,19.44,19.5,19.56,19.44,10.70K,-0.61%
2000-07-27,19.0,18.75,19.0,18.62,4.20K,-2.26%
2000-07-28,17.94,18.0,18.25,17.94,18.20K,-5.58%
2000-07-31,18.44,18.5,18.5,18.25,7.50K,2.79%
2000-08-01,18.75,18.88,18.88,18.75,17.00K,1.68%
2000-08-02,18.88,19.0,19.19,18.88,36.30K,0.69%
2000-08-03,18.88,18.75,18.88,18.75,2.20K,0.00%
2000-08-04,18.62,18.75,18.75,18.25,28.10K,-1.38%
2000-08-07,18.0,17.88,18.0,17.62,11.60K,-3.33%
2000-08-08,17.38,17.5,17.5,17.38,2.20K,-3.44%
2000-08-09,18.5,18.5,18.5,18.44,4.20K,6.44%
2000-08-10,19.19,19.0,19.5,19.0,3.80K,3.73%
