Country;#1 Brand;#1 Market Share;#2 Brand;#2 Market Share;#3 Brand;#3 Market Share
Australia;Apple;61.42%;Samsung;25.25%;Google;2.98%
Austria;Apple;45.11%;Samsung;32.74%;Xiaomi;6.15%
Belgium;Apple;48.53%;Samsung;31.70%;Xiaomi;5.69%
Canada;Apple;60.66%;Samsung;24.92%;Google;3.90%
Chile;Samsung;33.22%;Apple;22.61%;Xiaomi;15.15%
Colombia;Apple;24.75%;Samsung;24.67%;Xiaomi;19.46%
Costa Rica;Samsung;32.70%;Apple;24.35%;Huawei;9.94%
Czech Republic;Apple;29.29%;Samsung;25.18%;Xiaomi;20.71%
Denmark;Apple;69.33%;Samsung;16.59%;OnePlus;4.15%
Estonia;Apple;40.07%;Samsung;29.77%;Xiaomi;11.16%
Finland;Apple;35.55%;Samsung;28.25%;Xiaomi;9.78%
France;Apple;36.15%;Samsung;28.86%;Xiaomi;11.97%
Germany;Apple;39.97%;Samsung;33.32%;Xiaomi;9.41%
Greece;Xiaomi;35.29%;Samsung;31.81%;Apple;10.50%
Hungary;Samsung;37.63%;Xiaomi;20.77%;Apple;20.74%
Iceland;Apple;56.47%;Samsung;31.08%;Xiaomi;3.61%
Ireland;Apple;46.43%;Samsung;33.58%;Unknown;4.01%
Israel;Samsung;49.35%;Apple;24.59%;Xiaomi;17.94%
Italy;Apple;33.42%;Samsung;28.56%;Xiaomi;13.60%
Japan;Apple;70.23%;Unknown;6.69%;Samsung;6.45%
South Korea;Samsung;67.72%;Apple;27.12%;LG;2.04%
Latvia;Samsung;40.36%;Apple;27.36%;Xiaomi;15.73%
Lithuania;Samsung;37.29%;Apple;27.56%;Xiaomi;18.02%
Luxembourg;Apple;35.17%;Samsung;26.03%;Xiaomi;11.13%
Mexico;Samsung;23.85%;Apple;22.60%;Motorola;15.62%
Netherlands;Apple;45.01%;Samsung;34.20%;Xiaomi;4.81%
New Zealand;Apple;44.11%;Samsung;33.20%;Oppo;5.87%
Norway;Apple;66.79%;Samsung;21.48%;Huawei;2.18%
Poland;Samsung;33.75%;Xiaomi;23.83%;Apple;14.43%
Portugal;Apple;33.53%;Samsung;29.99%;Xiaomi;16.52%
Slovakia;Samsung;30.64%;Apple;24.67%;Xiaomi;21.14%
Slovenia;Samsung;40.01%;Apple;26.88%;Xiaomi;10.41%
Spain;Xiaomi;27.68%;Samsung;26.69%;Apple;23.67%
Sweden;Apple;56.12%;Samsung;29.52%;Xiaomi;2.89%
Switzerland;Apple;56.73%;Samsung;27.46%;Xiaomi;3.79%
Turkey;Unknown;36.23%;Samsung;20.09%;Apple;18.94%
United Kingdom;Apple;53.10%;Samsung;29.16%;Google;3.18%
United States;Apple;56.64%;Samsung;26.64%;Unknown;4.51%
Brazil;Samsung;37.58%;Motorola;19.33%;Apple;17.90%
China;Unknown;25.25%;Apple;23.40%;Huawei;22.66%
India;Xiaomi;20.29%;Vivo;17.89%;Samsung;14.03%
Indonesia;Oppo;17.04%;Samsung;16.54%;Xiaomi;14.82%
South Africa;Samsung;50.23%;Apple;16.64%;Huawei;15.37%
Pakistan;Samsung;17.92%;Vivo;13.89%;Infinix;13.67%
Nigeria;Tecno;26.49%;Infinix;20.80%;Samsung;11.91%
Bangladesh;Samsung;19.69%;Xiaomi;18.75%;Vivo;12.09%
Russia;Apple;30.30%;Xiaomi;22.06%;Samsung;18.86%
Ethiopia;Samsung;46.70%;Tecno;17.85%;Infinix;9.34%
Philiippines;Oppo;15.06%;Vivo;14.05%;Samsung;13.29%
Egypt;Samsung;25.57%;Oppo;17.30%;Apple;14.48%
Saudi Arabia;Apple;37.08%;Samsung;22.18%;Xiaomi;7.43%
Kenya;Samsung;22.36%;Tecno;19.02%;Unknown;14.17%
DR Congo;Tecno;32.58%;Unknown;13.14%;itel;11.88%
Vietnam;Apple;38.42%;Samsung;24.97%;Oppo;15.05%
Thailand;Apple;35.51%;Samsung;18.83%;Oppo;13.27%
Iran;Samsung;52.47%;Xiaomi;27.60%;Apple;8.14%
Romania;Samsung;44.11%;Apple;25.27%;Xiaomi;8.29%
Argentina;Samsung;50.03%;Motorola;26.38%;Apple;10.19%
Uganda;Tecno;26.22%;Samsung;20.26%;Unknown;16.09%
Algeria;Samsung;27.43%;Xiaomi;21.80%;Oppo;15.18%
Peru;Samsung;32.60%;Xiaomi;21.73%;Apple;10.64%
Uzbekistan;Samsung;30.59%;Xiaomi;25.38%;Unknown;22.39%
Malaysia;Apple;29.61%;Samsung;14.54%;Oppo;12.55%
Bulgaria;Samsung;37.71%;Xiaomi;18.96%;Apple;14.86%
Morocco;Samsung;36.32%;Xiaomi;18.45%;Apple;16.84%
